n_estimators,max_depth,learning_rate,colsample_bytree,train_score,train_rank,test_score,test_rank,tr_te_avg_score,overall_rank
500,4,0.5,0.15,0.8300554736365968,58,0.8292101533307563,39.0,0.8296328134836766,58.0
300,5,0.35,0.25,0.8335184936044477,50,0.8304986470815616,34.0,0.8320085703430047,52.0
100,5,0.5,0.5,0.8351775195886789,40,0.8327535111454709,25.0,0.8339655153670749,40.0
200,4,0.3,0.25,0.8378512468540924,22,0.8337843061461152,16.0,0.8358177765001038,24.0
200,3,0.3,0.25,0.838511621693121,9,0.833977580208736,13.0,0.8362446009509286,16.0
400,3,0.35,0.15,0.8376579593013462,27,0.8344929777090581,6.0,0.8360754685052021,19.0
500,4,0.3,0.15,0.8357573500781568,38,0.8333333333333334,22.0,0.8345453417057451,38.0
100,5,0.25,0.5,0.8384471959678786,11,0.8346218270841387,5.0,0.8365345115260087,8.0
300,4,0.25,0.25,0.8377223912528002,25,0.8343641283339776,8.0,0.8360432597933889,21.0
100,5,0.5,0.25,0.8351452854531679,41,0.8315294420822059,31.0,0.8333373637676869,45.0
400,4,0.5,0.25,0.8309735856207584,55,0.8290168792681355,40.0,0.829995232444447,55.0
200,5,0.5,0.15,0.8322299209882947,52,0.8322381136451488,28.0,0.8322340173167218,50.0
400,5,0.5,0.25,0.8241120098052706,60,0.8232186573895116,41.0,0.8236653335973911,59.0
500,5,0.25,0.5,0.8319883066182779,53,0.8324313877077696,26.0,0.8322098471630237,51.0
200,5,0.3,0.25,0.8368204124207742,33,0.8338487308336554,15.0,0.8353345716272148,31.0
100,4,0.35,0.25,0.8383988670752041,13,0.8337198814585749,17.0,0.8360593742668895,20.0
100,3,0.5,0.5,0.8377868055633211,23,0.8335910320834944,19.0,0.8356889188234078,26.0
200,3,0.35,0.25,0.8378673436866599,21,0.8340420048962762,12.0,0.8359546742914681,23.0
200,4,0.5,0.25,0.8348392723381594,43,0.8321092642700683,29.0,0.8334742683041139,44.0
200,3,0.25,0.15,0.8388015379755618,4,0.8342997036464374,9.0,0.8365506208109996,7.0
200,3,0.5,0.15,0.838302242496317,14,0.8346862517716789,4.0,0.836494247133998,12.0
100,4,0.3,0.25,0.8387371101749157,6,0.8342997036464374,9.0,0.8365184069106766,10.0
200,3,0.25,0.35,0.8387532225730125,5,0.8344285530215179,7.0,0.8365908877972652,3.0
100,5,0.35,0.25,0.8377223798380788,26,0.8339131555211957,14.0,0.8358177676796372,25.0
200,5,0.25,0.25,0.8374646644846866,28,0.8335910320834944,19.0,0.8355278482840904,30.0
300,4,0.25,0.5,0.8377546025588684,24,0.8333977580208736,21.0,0.8355761802898709,29.0
200,5,0.35,0.15,0.8361600126768991,37,0.8342997036464374,9.0,0.8352298581616682,32.0
500,3,0.5,0.25,0.8347264886645881,45,0.8306919211441824,33.0,0.8327092049043853,48.0
200,4,0.35,0.25,0.8369331473223541,29,0.8342997036464374,9.0,0.8356164254843957,27.0
500,5,0.25,0.25,0.834613756876114,47,0.8324313877077696,26.0,0.8335225722919418,43.0
400,4,0.5,0.15,0.8318916695869676,54,0.8303053730189408,36.0,0.8310985213029543,53.0
300,4,0.5,0.15,0.8339211364868532,48,0.8314650173946656,32.0,0.8326930769407594,49.0
300,5,0.3,0.5,0.8334701418823304,51,0.8319804148949878,30.0,0.8327252783886591,47.0
300,3,0.5,0.15,0.8368365144418516,31,0.8343641283339776,8.0,0.8356003213879146,28.0
400,3,0.35,0.35,0.8368848422968242,30,0.8341708542713567,10.0,0.8355278482840904,30.0
400,3,0.25,0.5,0.8384472063448982,10,0.8346862517716789,4.0,0.8365667290582885,4.0
500,3,0.25,0.15,0.8381894837275924,16,0.83494395052184,2.0,0.8365667171247162,6.0
200,4,0.35,0.5,0.8367076515766457,34,0.8332689086457931,23.0,0.8349882801112194,34.0
300,4,0.3,0.25,0.8368365092533419,32,0.8324313877077696,26.0,0.8346339484805557,37.0
200,5,0.5,0.35,0.8300716036756266,57,0.8294034273933771,38.0,0.8297375155345019,57.0
400,4,0.5,0.35,0.829717216009058,59,0.8297899755186188,37.0,0.8297535957638384,56.0
400,5,0.35,0.35,0.8309252422002565,56,0.8304342223940214,35.0,0.830679732297139,54.0
100,4,0.25,0.35,0.8388498668682366,3,0.8336554567710347,18.0,0.8362526618196356,15.0
300,4,0.25,0.15,0.8380445302560307,19,0.8350083752093802,1.0,0.8365264527327054,9.0
100,4,0.3,0.35,0.8388981895346995,2,0.8348151011467594,3.0,0.8368566453407295,1.0
400,5,0.35,0.15,0.8337117770063861,49,0.8323669630202294,27.0,0.8330393700133077,46.0
300,5,0.3,0.35,0.8350808555771179,42,0.8319804148949878,30.0,0.8335306352360528,42.0
400,3,0.5,0.15,0.836578808427777,36,0.8335266073959541,20.0,0.8350527079118655,33.0
300,3,0.3,0.35,0.8380767363735891,18,0.8341064295838165,11.0,0.8360915829787028,18.0
200,3,0.25,0.5,0.8390753698778586,1,0.8339131555211957,14.0,0.8364942626995271,11.0
500,3,0.25,0.5,0.837964006660519,20,0.8342997036464374,9.0,0.8361318551534782,17.0
100,5,0.25,0.15,0.83815727553463,17,0.8343641283339776,8.0,0.8362607019343038,14.0
300,3,0.3,0.15,0.8382700208132294,15,0.8344285530215179,7.0,0.8363492869173736,13.0
500,4,0.3,0.5,0.834823154751553,44,0.8327535111454709,25.0,0.833788332948512,41.0
300,3,0.25,0.5,0.8387049144343768,7,0.8346862517716789,4.0,0.8366955831030278,2.0
100,4,0.25,0.25,0.8386404731436053,8,0.8344929777090581,6.0,0.8365667254263317,5.0
100,3,0.3,0.15,0.8384149773978969,12,0.8335266073959541,20.0,0.8359707923969255,22.0
400,4,0.35,0.15,0.8366915433293567,35,0.8330756345831722,24.0,0.8348835889562645,35.0
500,5,0.25,0.15,0.8346781898652698,46,0.8336554567710347,18.0,0.8341668233181523,39.0
500,4,0.25,0.35,0.8355801718104017,39,0.833977580208736,13.0,0.8347788760095689,36.0
