n_estimators,max_depth,learning_rate,colsample_bytree,train_score,train_rank
200,4,0.35,0.5,0.8667310243186612,27
100,4,0.5,0.15,0.8663122628119476,31
300,4,0.35,0.35,0.8653619447102276,41
200,5,0.5,0.5,0.8624143772409019,56
300,5,0.3,0.15,0.8661189960132405,32
300,4,0.25,0.15,0.8674880704331644,5
300,5,0.25,0.5,0.8652975324751107,43
400,3,0.5,0.15,0.8666021905091099,29
200,5,0.25,0.35,0.8671336993698269,16
100,4,0.3,0.35,0.8673753002497184,8
100,5,0.25,0.25,0.8673591961532372,10
100,3,0.3,0.25,0.8669887438228612,20
400,3,0.3,0.25,0.8669565242151775,21
500,3,0.25,0.25,0.8674236322554989,6
400,4,0.35,0.35,0.8642183629229062,51
300,5,0.3,0.5,0.8643472060717751,49
500,5,0.35,0.35,0.8613996375647474,58
200,4,0.25,0.5,0.8670853694394504,19
200,3,0.3,0.5,0.866875996468858,24
100,3,0.5,0.35,0.8671015108932015,17
400,5,0.5,0.25,0.8598372766297792,60
300,3,0.5,0.35,0.8657324053422191,37
500,4,0.35,0.15,0.8645727059682913,47
400,5,0.3,0.5,0.8634291158793543,53
100,4,0.3,0.15,0.8658451526962223,34
100,5,0.35,0.25,0.8669404170055904,22
400,4,0.25,0.5,0.8658290454866354,35
100,4,0.3,0.5,0.8673591878516217,11
500,4,0.5,0.35,0.8599178106023104,59
300,5,0.3,0.35,0.8650720201261711,46
100,4,0.5,0.35,0.8666665851032938,28
200,5,0.5,0.15,0.865168687250838,45
400,4,0.25,0.15,0.867568598179484,3
200,5,0.3,0.15,0.8669082285289651,23
100,5,0.35,0.35,0.8671659086004911,15
100,4,0.25,0.15,0.8654424817958646,40
200,3,0.5,0.5,0.8663283752100444,30
200,5,0.5,0.35,0.8622694154677245,57
400,5,0.3,0.15,0.8656196860061685,38
200,3,0.35,0.15,0.8675041631149242,4
100,5,0.25,0.5,0.8679068257136664,1
100,3,0.3,0.5,0.8667471491691814,25
200,4,0.5,0.15,0.8657324136438347,36
500,3,0.25,0.15,0.867649133189717,2
300,4,0.5,0.35,0.8628814728287999,54
500,3,0.5,0.5,0.8635740994442724,52
200,4,0.5,0.25,0.8652008715766555,44
100,5,0.3,0.35,0.8672947735411008,13
200,3,0.25,0.5,0.8674075157065944,7
100,3,0.5,0.15,0.8667310388464886,26
200,4,0.5,0.5,0.8644116421740367,48
100,4,0.35,0.35,0.8673592117187664,9
300,3,0.5,0.5,0.8653458613677854,42
300,4,0.5,0.15,0.8642344794718106,50
200,3,0.3,0.35,0.8670853912311911,18
200,3,0.25,0.35,0.8673269869225729,12
500,4,0.35,0.5,0.8624143948818348,55
100,5,0.25,0.15,0.8654424838712684,39
200,4,0.25,0.15,0.8672303478158586,14
300,4,0.3,0.5,0.8659417990668503,33
