colsample_bytree,learning_rate,max_depth,n_estimators,train_score,train_rank,test_score,f1_score,test_rank,tr_te_avg_score,overall_rank
0.25,0.25,4,200,0.829427319442954,2,0.8332689086457931,0.8315648576495597,2.0,0.8312595223162411,1.0
0.25,0.3,4,200,0.8288313474997249,5,0.8339131555211957,0.8321361352315277,1.0,0.8291414372268233,7.0
0.25,0.35,4,200,0.828783021720156,6,0.8332044839582528,0.8313647951139014,3.0,0.830808534456781,2.0
0.35,0.25,4,200,0.8297977779995417,1,0.8327535111454709,0.8310081511546697,7.0,0.8305186124669794,3.0
0.35,0.3,4,200,0.8288796909202267,4,0.833011209895632,0.8311939542147051,5.0,0.8303817053362976,4.0
0.35,0.35,4,200,0.8285092219866197,7,0.8328179358330112,0.8310197627408731,6.0,0.8296568923196035,5.0
0.5,0.25,4,200,0.8289441010799397,3,0.8330756345831722,0.8314238209393333,4.0,0.8287065747367344,9.0
0.5,0.3,4,200,0.8279937923175371,9,0.8312717433320448,0.8295233834041859,9.0,0.8295602926455631,6.0
0.5,0.35,4,200,0.8281709820000138,8,0.8323025383326891,0.8305115941266638,8.0,0.8287790737831071,8.0
